Ticker, Earnings, Revenue, Percentage change, Market cap, IndustryCCL,17.81,2.06,-7.39,17723369472,Travel Services
CIEN,11.32,1.60,2.82,7034322432,Communication Equipment
SIG,15.67,3.44,1.67,3239212544,Luxury Goods
JILL,37.50,2.15,0.44,313839936,Apparel Retail
GCO,30.89,5.18,2.79,356216448,Apparel Retail
HRL,-2.44,4.65,-2.43,20826392576,Packaged Foods
CRWD,32.14,0.85,1.48,40051908608,Software—Infrastructure
CHWY,36.36,0.56,-0.58,7834157568,Internet Retail
CRM,11.58,0.93,1.54,197732958208,Software—Application
CONN,6.08,2.49,-0.24,94801960,Specialty Retail
PVH,13.14,0.95,2.72,4620691968,Apparel Manufacturing
BOX,2.86,0.15,1.18,3483008000,Software—Infrastructure
HPQ,0,1.23,0.03,25502281728,Computer Hardware
NCNO,28.57,1.82,2.01,3608635392,Software—Application
AMBA,28.57,0.46,4.11,2105967744,Semiconductor Equipment & Materials
NSSC,0,0.09,2.08,817399296,Security & Protection Services
CTLT,-10,1.67,-0.3,8173532672,Drug Manufacturers—Specialty & Generic
CHS,3.70,1.76,-1.52,922699008,Apparel Retail
SJM,6.76,1.95,0.07,12543729664,Packaged Foods
CAN,-286.67,10.89,11.52,306918592,Computer Hardware
DCI,0,1.88,2.57,7249059328,Specialty Industrial Machinery
AFYA,-12.12,1.71,0.69,1472385152,Education & Training Services
UI,-16.43,0.02,12.59,8760568832,Communication Equipment
HIBB,25,0.51,3.35,584643840,Apparel Retail
GPS,277.78,1.36,-1.04,3955877120,Apparel Retail
JWN,86.67,2.92,-3.5,2406577152,Department Stores
INTU,19.57,2.68,-1.17,142962917376,Software—Application
MRVL,3.13,0.76,-10.44,46814232576,Semiconductors
WDAY,14.40,0.76,-4.05,56453140480,Software—Application
DOMO,75,0.83,-1.27,354513504,Software—Application
ULTA,2.56,0.87,-3.0,19614150656,Specialty Retail
OSIS,4.72,7.13,2.16,1973921024,Electronic Components
WOOF,-14.29,0.97,-1.14,1084448256,Specialty Retail
BBW,39.02,7.20,-8.65,428246240,Specialty Retail
TD,-2.63,5.74,-2.3,109925761024,Banks—Diversified
FRO,0,3.42,-0.72,4168615936,Oil & Gas Midstream
GES,84.62,4.04,1.05,1157753600,Apparel Retail
NVDA,29.19,20.89,2.73,1076033093632,Semiconductors
UFI,17.02,2.14,-0.14,125958544,Textile Manufacturing
OOMA,0,1.20,2.34,331904000,Telecom Services
SPLK,69.05,2.53,1.08,24684947456,Software—Infrastructure
ADSK,11.05,2.11,1.04,44240596992,Software—Application
NTAP,7.48,1.54,-0.35,15847237632,Computer Hardware
WSM,14.71,5.23,8.0,10030353408,Specialty Retail
ANF,746.15,11.03,2.29,2829313792,Apparel Retail
PTON,-51.11,0.26,5.05,1806455424,Leisure
KSS,116.67,0.22,2.81,2331663872,Department Stores
LZB,12.73,1.27,-1.97,1335672832,"Furnishings, Fixtures & Appliances"
SCSC,-13.64,3.24,1.31,756009024,Electronics & Computer Distribution
DKS,-25,0.04,-4.47,9210978304,Specialty Retail
M,100,1.44,-6.98,3164932864,Department Stores
