Ticker,Earnings,Revenue,Percentage change,Market cap,Industry
MGNI,-25,0.09,-15.25,1032670912,Advertising Agencies
ALRM,40,4.25,-2.52,3051258880,Software—Application
LMB,100,0.71,4.5,349137888,Engineering & Construction
NLS,34,6.39,-5.66,30680108,Leisure
CENX,233.33,10.42,1.47,666290880,Aluminum
RAMP,20.83,4.81,-6.65,1910208768,Software—Infrastructure
ENS,5,4.66,-1.34,3885247232,Electrical Equipment & Parts
TASK,10.34,0.84,-1.56,965198848,Information Technology Services
G,4.35,0.73,-1.0,6563711488,Information Technology Services
OEC,-10.17,16.30,2.35,1244367232,Specialty Chemicals
QNST,50,0.49,-4.24,490934400,Advertising Agencies
AVTA,-47.06,0.52,-5.19,940533120,Asset Management
VSAT,-477.27,26.71,-2.49,2290055168,Communication Equipment
INFN,100,0.22,-2.38,948542272,Communication Equipment
DRRX,-2.22,27.99,1.61,68724248,Drug Manufacturers—Specialty & Generic
LUMO,-2.83,6.25,-4.15,26186952,Biotechnology
MGNX,30.77,51.46,3.75,288684672,Biotechnology
CPRX,32,7.35,1.07,1245955200,Biotechnology
CARG,26.09,4.25,-0.77,1988484992,Auto & Truck Dealerships
CDXC,25,4.30,1.23,109547304,Biotechnology
INO,7.14,13,-4.76,104281176,Biotechnology
NVEE,-1.53,1.20,-3.18,1529123584,Engineering & Construction
ILMN,"1,500",1.11,-0.58,21731424256,Diagnostics & Research
DIS,4.04,0.48,1.14,148303675392,Entertainment
JAZZ,1.12,0.51,1.29,8172168704,Biotechnology
WYNN,78.43,7.02,-1.57,10528826368,Resorts & Casinos
APP,175,3.92,-2.19,13897927680,Software—Application
BLDP,23.08,0.24,1.91,1103969024,Specialty Industrial Machinery
RBLX,0,0.55,-20.91,17861658624,Electronic Gaming & Multimedia
VSH,13.33,2.11,0.15,3437167616,Semiconductors
SSYS,233.33,4.25,-3.54,940804864,Computer Hardware
CSTE,-762.50,10.44,-3.88,147764016,Building Products & Equipment
CEVA,-125,13.76,-12.36,458243840,Semiconductors
VERX,0,2.79,5.21,3513163264,Software—Application
BCO,-14.49,1.32,-6.36,3372406528,Security & Protection Services
VVV,16.22,3.38,-2.45,4470495744,Oil & Gas Refining & Marketing
DIBS,8.70,3.98,1.08,141161760,Internet Retail
XMTR,33.33,0.67,3.92,814505088,Specialty Industrial Machinery
ANIP,100,20.41,13.98,1177503232,Drug Manufacturers—Specialty & Generic
WEN,0,1.33,-2.07,4271568128,Restaurants
TSQ,-62.50,0.13,-21.65,144448544,Advertising Agencies
AMPH,14.04,6.20,3.65,2246869248,Drug Manufacturers—Specialty & Generic
TTGT,4.65,1.79,-1.94,844636480,Internet Content & Information
LFT,-42.86,4.39,1.88,108640896,REIT—Mortgage
IAC,0,0.93,1.62,4325779968,Internet Content & Information
TTWO,-2.70,0.15,-1.52,23842574336,Electronic Gaming & Multimedia
SCOR,-175,2.01,0.0,58373484,Internet Content & Information
SUPN,-108.70,6.64,2.11,1505167616,Drug Manufacturers—Specialty & Generic
LPSN,200,0.65,-5.9,303460096,Software—Application
HNST,0,5.43,0.0,119672280,Household & Personal Products
VAPO,23.68,4.99,-7.5,15522688,Medical Devices
ATER,-69.23,0.47,-11.36,27900456,"Furnishings, Fixtures & Appliances"
WPRT,0,0.16,-3.8,104080496,Auto Parts
SMWB,22.22,0.06,-2.66,505229440,Software—Application
IOSP,0.79,3,-2.8,2541305088,Specialty Chemicals
OFIX,102.99,1.75,-2.39,472459680,Medical Devices
VVX,53.03,8.01,0.72,1611037696,Aerospace & Defense
ANGI,0,7.10,1.57,1002442304,Internet Content & Information
DAR,-1.27,4.98,0.07,8325430784,Packaged Foods
MQ,22.22,4.63,-1.78,3172982016,Software—Infrastructure
RXT,25,2.07,8.13,507343840,Software—Infrastructure
PXLW,10,0.78,-5.39,63522836,Semiconductors
SNCR,0,0.24,-1.04,89660248,Software—Infrastructure
ANIK,44.12,9.09,-4.06,272577376,Medical Devices
FLYW,0,8.41,-4.4,3848102400,Software—Infrastructure
VRM,5.88,2.28,-7.08,156423680,Auto & Truck Dealerships
EGHT,-7.14,1.94,-8.28,302263904,Software—Application
PRA,100,6.36,0.36,983504064,Insurance—Property & Casualty
LYFT,"1,600",0.33,6.54,4070948608,Software—Application
TDUP,21.74,1.78,-3.3,415901184,Internet Retail
DOOR,10.05,1.75,-0.74,2051156992,Building Products & Equipment
EDR,-161.29,0.89,-0.3,6044724736,Entertainment
AZTA,533.33,8.72,1.05,2970996992,Medical Instruments & Supplies
CMP,731.25,3.56,-1.0,1150271104,Other Industrial Metals & Mining
DIOD,1.27,0.12,-1.27,3621814784,Semiconductors
ITI,350,15.32,-2.57,176950640,Communication Equipment
QDEL,4,7.30,-1.26,4878385664,Medical Devices
TOST,-35.71,4.15,0.6,10032405504,Software—Infrastructure
LZ,0,1.09,-1.1,2052814464,Specialty Business Services
PETQ,76.92,14.72,2.65,579609472,Drug Manufacturers—Specialty & Generic
SCPL,-7.41,3.94,-0.15,483154368,Electronic Gaming & Multimedia
GRWG,-28.57,0.15,1.4,178796864,Specialty Retail
CDNA,57.14,24.65,-1.08,379181600,Diagnostics & Research
MRTX,5.88,1.63,-5.18,3044526336,Biotechnology
EMKR,0,0.75,1.52,36499616,Semiconductors
MASI,-27.91,0.18,0.08,4631091200,Medical Devices
QGEN,2,0.22,-2.41,9241370624,Diagnostics & Research
VCYT,25,7.60,-2.04,1624518528,Biotechnology
RPD,63.64,1.28,-7.51,2791046400,Software—Infrastructure
AGTI,-6.67,2.41,1.49,876532928,Health Information Services
NVTA,18.92,0.54,-3.23,163676944,Diagnostics & Research
TWOU,-500,4.96,-1.38,201107408,Education & Training Services
AXON,79.03,7.79,-3.39,14876492800,Aerospace & Defense
BL,-246.43,0.50,-3.16,3382621696,Software—Application
VUZI,12.50,2.20,-2.69,229848704,Consumer Electronics
PSNL,10.71,0.29,-2.94,58707872,Diagnostics & Research
VTEX,-33.33,5.33,-0.76,941003264,Software—Application
LGND,86.84,5.85,0.42,1039929536,Biotechnology
LDI,-35.71,7.54,-1.33,550400000,Mortgage Finance
TWLO,86.21,5.41,-4.92,10600777728,Internet Content & Information
NKTR,10,2.13,28.21,113234880,Biotechnology
SGMO,-5.71,69.39,-4.2,106231776,Biotechnology
ACCO,31.03,1.04,-1.14,544825856,Business Equipment & Supplies
CUTR,-25.45,6.58,-7.5,124544768,Medical Devices
CLDX,0,60,-3.83,1300617216,Biotechnology
DOCS,26.67,1.40,-2.44,4131788544,Health Information Services
SDC,-8.33,1.53,-16.48,161065648,Medical Instruments & Supplies
PODD,58.33,3.26,-9.4,11135768576,Medical Devices
IRBT,15.98,5.39,-0.97,1049686016,"Furnishings, Fixtures & Appliances"
STGW,-20,4.04,-0.31,1232527360,Advertising Agencies
IRWD,24,3.79,-7.12,1502559232,Drug Manufacturers—Specialty & Generic
TECH,0,1.11,3.06,10771396608,Biotechnology
WOW,50,0.46,-8.38,640256064,Telecom Services
NVAX,146.77,64.75,-10.52,730544960,Biotechnology
SATS,69.57,0.27,16.32,1404475648,Communication Equipment
NETI,33.33,0.34,-4.1,389562752,Marine Shipping
DISH,6.90,0.13,10.57,3128413952,Telecom Services
FOXA,23.94,0.37,4.93,14612208640,Entertainment
WHF,0,0.99,-3.82,296814400,Asset Management
TGLS,14.29,7.84,-14.49,1571315200,Building Materials
EHTH,-10.53,33.88,0.57,207857120,Insurance Brokers
NRG,2.80,40.39,-2.75,8894768128,Utilities—Independent Power Producers
PWFL,-400,6.23,-14.5,75006448,Communication Equipment
EVBG,14.81,0.40,-21.17,913854912,Software—Application
OGN,35.05,3.10,9.89,4436660736,Drug Manufacturers—General
CRNC,73.33,1.37,2.53,821587328,Software—Application
LCII,-4.38,0.59,-7.65,2973591040,Recreational Vehicles
CECO,-11.76,10.72,25.09,555200256,Pollution & Treatment Controls
TDG,14.53,3.99,-1.35,46526611456,Aerospace & Defense
NXST,-8.33,0.69,-3.5,5029792256,Entertainment
DDOG,28.57,1.82,-19.39,29604157440,Software—Application
BLUE,6.94,25.96,-0.51,325137120,Biotechnology
ZTS,6.82,0.44,5.06,80085950464,Drug Manufacturers—Specialty & Generic
NOVT,11.11,2.52,-11.95,5136342528,Scientific & Technical Instruments
ADT,-30.43,2.88,-0.63,5527350272,Security & Protection Services
ENR,-18.18,6.51,-9.81,2290385920,Electrical Equipment & Parts
PRGO,16.67,0.72,9.39,4325934080,Drug Manufacturers—Specialty & Generic
LLY,6.57,10.05,15.08,509894819840,Drug Manufacturers—General
NPO,5.78,1.08,-7.87,2533355776,Specialty Industrial Machinery
ARMK,9.09,3.96,6.84,9058435072,Specialty Business Services
VPG,13.73,3.41,-0.13,456825696,Scientific & Technical Instruments
PLTK,0,1.54,-9.59,3529356544,Electronic Gaming & Multimedia
ALE,15.38,40.91,3.29,3030625024,Utilities—Diversified
SEAS,-24.16,0.37,-3.72,2958677248,Leisure
UPS,1.20,3.61,-0.8,133183111168,Integrated Freight & Logistics
HAE,38.16,4.50,0.14,4542780928,Medical Instruments & Supplies
SQSP,-76.92,1.81,-3.73,3938935040,Software—Infrastructure
RDNT,242.86,3.80,-5.06,1910509568,Diagnostics & Research
PRI,5.28,2.51,0.74,6939116544,Insurance—Life
MRC,-30.56,4.30,-0.62,861122048,Oil & Gas Equipment & Services
PWSC,0,1.53,0.53,3703935488,Software—Application
JELD,33.33,2.63,2.62,1138111616,Building Products & Equipment
ADEA,18.18,1.13,0.6,1140122112,Software—Application
EVCM,137.50,0.07,-1.11,1893072128,Software—Infrastructure
AKYA,-15.91,6.10,-1.71,227575184,Medical Instruments & Supplies
PAY,700,3.18,-3.25,2050332416,Software—Infrastructure
DSP,500,1.78,-1.51,349578880,Software—Application
TDC,6.67,4.11,-1.14,4497498112,Software—Infrastructure
EVER,6.06,5,-2.95,241238352,Internet Content & Information
RNG,10.67,0.61,1.12,2805504512,Software—Application
FORG,-25,4.59,1.5,1950605440,Software—Infrastructure
FIVN,33.33,4.10,0.5,4643251200,Software—Infrastructure
MED,92.36,16.85,-1.96,815071552,Personal Services
OKE,4,9.56,-0.08,36946264064,Oil & Gas Midstream
CE,-11.79,1.53,0.12,13663102976,Chemicals
AMBC,216.67,27.05,1.29,546366272,Insurance—Specialty
MX,73.91,0.79,-1.19,334556448,Semiconductors
FGEN,9.72,29.72,-7.33,84745584,Biotechnology
PLUS,42.42,17.77,-0.53,1711095424,Software—Application
CTRA,8.33,7.41,0.25,20423993344,Oil & Gas E&P
SWKS,3.59,0.07,-0.05,15714554880,Semiconductors
INGN,34.38,10.33,-0.53,121075288,Medical Devices
CHGG,0,3.78,-4.48,1028663360,Education & Training Services
AXGN,80,3.16,-0.96,214918000,Medical Devices
MNKD,100,15.65,-2.95,1108306176,Biotechnology
ACM,-1.05,4.93,0.23,11519890432,Engineering & Construction
CARA,-3.57,6.79,-4.84,90850536,Biotechnology
DAC,7.05,6.97,-2.6,1307977472,Marine Shipping
TSN,-55.88,4.62,6.72,17952225280,Farm Products
GOGO,53.85,0.03,-4.27,1535355264,Telecom Services
AXSM,19.35,16.21,-6.44,3298179072,Biotechnology
THS,5,1.66,-3.34,2456975104,Packaged Foods
VTRS,5.63,0.80,1.38,11827364864,Drug Manufacturers—Specialty & Generic
ACRS,6.67,8.16,-8.14,484943008,Diagnostics & Research
FRPT,7.89,1.30,8.81,3176667648,Packaged Foods
GHM,725,19.88,6.24,177668144,Specialty Industrial Machinery
SOHU,-18.18,1.04,4.36,317805376,Electronic Gaming & Multimedia
DBRG,-40,34.70,1.26,2859211264,Real Estate Services
ENB,0,3.65,-0.86,70974152704,Oil & Gas Midstream
PPL,-9.38,5.69,-4.47,17365817344,Utilities—Regulated Electric
NKLA,16.67,4.62,-15.82,1546760960,Farm & Heavy Construction Machinery
CBOE,1.14,0.02,4.49,16482810880,Financial Data & Stock Exchanges
TDS,-325,3.22,90.5,2064598912,Telecom Services
EVRG,2.53,9.14,-3.83,11645891584,Utilities—Regulated Electric
TU,-22.22,0.89,-0.58,23788099584,Telecom Services
LYB,6.55,0.87,-0.5,30701453312,Specialty Chemicals
CNK,48.15,7.04,1.74,2231983872,Entertainment
ASIX,12.61,2.22,0.56,845783168,Chemicals
AMRX,90,6.50,28.84,1292636544,Drug Manufacturers—Specialty & Generic
MGA,20,7.69,-2.48,15438875648,Auto Parts
FLR,111.11,9.04,15.94,5261605888,Engineering & Construction
TILE,38.89,1.47,0.31,570029696,Building Products & Equipment
VGR,-3.03,10.42,-0.08,1659127040,Tobacco
MCHX,57.14,0.47,3.03,62878672,Advertising Agencies
DEN,-13.82,5.86,1.17,4988904960,Oil & Gas E&P
ACA,31.03,2.63,-0.17,3505973504,Engineering & Construction
WK,125,1.06,-1.31,5438370304,Software—Application
TMDX,80,25.52,-5.24,1786514432,Medical Devices
TMST,5.26,0.25,-4.32,943840384,Steel
III,10,0.61,3.54,212682736,Information Technology Services
GDDY,14.55,0.55,-0.94,10957498368,Software—Infrastructure
VVI,12.50,5.97,-2.05,547029824,Specialty Business Services
SYNA,13.95,2.13,-1.23,3491147264,Semiconductors
TSE,-700,18.87,-4.01,287494944,Specialty Chemicals
WLDN,116.67,4.64,-0.2,277745856,Engineering & Construction
SXI,5.39,1.90,-1.09,1723541888,Specialty Industrial Machinery
MODV,-2.65,7.90,3.69,446852768,Medical Care Facilities
ENV,0,0.85,-1.61,2401140736,Software—Application
QLYS,24.51,1.23,0.12,5600431104,Software—Infrastructure
LTHM,10.87,8.25,-3.74,3308553216,Specialty Chemicals
AES,-16,5.24,-0.48,10178360320,Utilities—Diversified
EB,76.92,0.22,-0.19,987814208,Software—Application
NET,42.86,0.94,-2.66,21069101056,Software—Infrastructure
GPRO,0,9.13,0.98,479559648,Consumer Electronics
MYGN,20,1.37,-2.99,1313409792,Diagnostics & Research
WERN,-8.77,0.39,1.26,2469052160,Trucking
BWXT,10.17,8.13,-0.65,6858136064,Aerospace & Defense
SQ,11.43,8.88,-4.65,27001964544,Software—Infrastructure
CDXS,19.05,0.84,3.36,131929560,Biotechnology
GERN,-12.50,79.29,-1.25,1109546496,Biotechnology
CVCO,-21.75,13.93,-3.05,2305179648,Residential Construction
LASR,75,1.79,-1.89,483709184,Semiconductors
MSI,5.58,1.93,0.2,45469523968,Communication Equipment
PCTY,22.22,2.33,-3.59,10160863232,Software—Application
PBPB,0,0.38,-1.28,228678064,Restaurants
YELP,40,3.43,-3.23,2857798656,Internet Content & Information
TTEC,14.58,0.69,-0.58,1243289472,Information Technology Services
FNKO,-13.16,5.18,-7.27,396278432,Leisure
CHUY,15.09,0.77,-1.69,641813440,Restaurants
BIGC,77.78,2.86,-7.02,740884672,Software—Application
NTRA,11.01,8.74,-2.69,5272476160,Diagnostics & Research
OSUR,-16.67,32.89,-2.6,435349184,Medical Instruments & Supplies
ICFI,10.56,3.73,0.21,2273003776,Consulting Services
RMD,-4.19,0.36,-1.84,21747388416,Medical Instruments & Supplies
AORT,500,5.69,-1.76,622163392,Medical Devices
PRTA,-11.96,62,-2.32,2583078144,Biotechnology
TRUP,21.43,3.03,1.0,1166681984,Insurance—Specialty
ALEC,102.47,"1,450.73",-3.14,543220352,Biotechnology
DKNG,29.17,14.78,-2.6,13659424768,Gambling
DBX,13.33,1.44,-1.78,9226123264,Software—Infrastructure
GILD,-16.25,2.98,-0.62,93375987712,Drug Manufacturers—General
CRIS,0,14.35,-6.1,38783668,Biotechnology
AAPL,5.88,0.54,-1.98,2676731412480,Consumer Electronics
CLFD,266.67,12.76,-0.53,437403200,Communication Equipment
BIO,17.65,0.98,-0.83,10544524288,Medical Devices
AXTI,0,8.22,-2.63,104776568,Semiconductor Equipment & Materials
APPN,7.14,3.05,-4.1,3334861568,Software—Infrastructure
PGNY,50,6.57,-1.1,3245725696,Health Information Services
ASRT,-7.14,3.57,0.56,238357248,Drug Manufacturers—Specialty & Generic
AMGN,12.61,5.41,-0.87,143759998976,Drug Manufacturers—General
SYK,6.72,3.42,-0.89,103781924864,Medical Devices
TVTX,2.59,10.70,-1.63,670597376,Biotechnology
AMZN,85.29,2.16,-0.95,1311598837760,Internet Retail
KTOS,80,8.99,-3.15,1923446272,Aerospace & Defense
TEAM,32.56,3.06,-4.0,51864842240,Software—Application
FTNT,11.76,0.72,-1.92,46083575808,Software—Infrastructure
OCN,711.76,2.47,-4.65,198681008,Mortgage Finance
AGL,-300,3.39,3.76,7201360384,Medical Care Facilities
LXRX,-29.41,5.67,-1.03,266968256,Biotechnology
ATEC,-43.33,6.12,-3.76,1560537472,Medical Devices
XNCR,59.34,119.56,-1.85,1221355904,Biotechnology
RARE,-6.64,2.96,-3.03,2548568576,Biotechnology
CYTK,-8.94,65.35,-0.97,2828101120,Biotechnology
RDFN,21.88,0.22,-2.45,802384000,Real Estate Services
MGEE,9.72,5.77,0.0,2477554688,Utilities—Regulated Electric
