Ticker,Earnings,Revenue,Percentage change,Market cap,Industry
SLAB,17.36,1.79,11.71,4544046592,Semiconductors
SMG,10.49,3.04,6.98,3268880896,Agricultural Inputs
RSVR,100.0,17.7,-10.83,415510944,Entertainment
ARCC,6.78,3.28,1.2,11686980608,Asset Management
HAIN,9.09,1.18,-13.11,896977088,Packaged Foods
REYN,4.84,0.32,1.72,5987358208,Packaging & Containers
CDW,0.0,6.35,2.92,32851009536,Information Technology Services
YUM,-9.35,3.79,2.89,36642344960,Restaurants
EMR,17.31,5.77,11.04,58999435264,Specialty Industrial Machinery
GPRE,-25.0,13.18,14.93,1587439488,Chemicals
KMT,20.0,0.02,-0.33,1948451712,Tools & Accessories
RDWR,0.0,0.9,1.81,815370304,Software - Infrastructure
PERI,7.22,0.48,-20.53,1123773568,Internet Content & Information
ATS,0.0,2.89,1.16,4025065216,Specialty Industrial Machinery
CMRE,9.68,18.1,5.72,1304614528,Marine Shipping
HLT,7.69,1.52,1.08,49057869824,Lodging
BG,32.62,2.04,-1.62,12863799296,Farm Products
EEFT,7.43,2.23,1.56,4792013312,Software - Infrastructure
ARI,0.0,3.43,0.55,1526121600,REIT - Mortgage
AYX,47.83,3.95,0.23,3444440320,Software - Application
VOYA,1.03,22.54,0.91,7191459840,Financial Conglomerates
NBR,-149.35,1.56,4.63,761372736,Oil & Gas Drilling
AFG,1.07,3.37,1.6,10267155456,Insurance - Property & Casualty
HRB,19.62,6.64,1.92,6547720192,Personal Services
ZWS,13.04,1.8,4.22,5718885376,Pollution & Treatment Controls
USNA,67.31,6.96,1.68,973515520,Packaged Foods
ATO,-0.48,32.39,-0.8,17061512192,Utilities - Regulated Gas
CNO,38.82,25.31,1.56,2977818368,Insurance - Life
EPM,-70.0,11.16,-3.77,184679008,Oil & Gas E&P
ACT,8.89,2.43,-0.57,4337533440,Insurance - Specialty
LSAK,33.33,0.4,4.06,239561088,Software - Infrastructure
WFRD,33.8,1.49,3.94,7072483840,Oil & Gas Equipment & Services
DHT,0.0,5.64,-0.66,1779049984,Oil & Gas Midstream
KD,-150.0,1.25,-2.02,5053061632,Information Technology Services
CSL,20.17,3.92,0.08,16849810432,Building Products & Equipment
JKHY,7.02,1.16,-0.28,12819613696,Information Technology Services
TENB,78.57,3.07,-0.19,6097282560,Software - Infrastructure
KREF,4.44,8.3,-0.25,672344320,REIT - Mortgage
LPTV,27.27,6.67,1.62,45947004,Broadcasting
VREX,-45.45,0.85,2.53,716918272,Medical Devices
ATEN,-7.41,8.49,-0.15,984513152,Software - Infrastructure
AMRK,-26.83,7.76,0.56,604958592,Capital Markets
WU,2.78,4.75,0.08,4370735104,Credit Services
AEIS,7.83,0.59,1.78,3905898752,Electrical Equipment & Parts
MODN,-3.45,2.21,-1.06,1098756992,Software - Application
OI,300.0,0.66,-2.38,2492651520,Packaging & Containers
AZPN,-8.05,0.98,-0.2,12062200832,Software - Application
SONO,40.0,4.06,4.05,2266326784,Consumer Electronics
IEX,2.81,2.59,0.03,17257740288,Specialty Industrial Machinery
PRU,-3.37,0.35,1.35,39208189952,Insurance - Life
SNEX,27.06,0.31,0.95,2090818432,Capital Markets
INNV,0.0,4.07,-3.44,770547392,Medical Care Facilities
WERN,-11.36,1.34,1.8,2639933952,Trucking
AIZ,23.78,7.92,1.26,9180739584,Insurance - Specialty
SNAP,14.29,1.83,1.45,18322055168,Internet Content & Information
PLUS,-14.49,14.91,2.01,2034286336,Software - Application
F,141.67,14.08,0.5,50981715968,Auto Manufacturers
DIOD,6.25,0.56,1.61,3215228416,Semiconductors
EXEL,6.45,0.33,2.54,6130582016,Biotechnology
CMG,6.47,0.98,-0.59,72346722304,Restaurants
ENPH,0.0,7.49,1.72,16723401728,Solar
EW,0.0,2.27,0.28,52037681152,Medical Devices
ELF,25.42,13.05,0.42,9687064576,Household & Personal Products
AZEK,100.0,2.7,-0.98,6703652352,Building Products & Equipment
AVNW,3.19,3.47,4.26,415313792,Communication Equipment
VFC,-27.85,9.31,1.13,5968331264,Apparel Manufacturing
VSAT,-607.14,0.76,3.26,2497610240,Communication Equipment
CINF,18.14,0.98,0.57,17095730176,Insurance - Property & Casualty
CRUS,43.78,14.72,1.87,5028897280,Semiconductors
CTSH,13.46,0.08,1.89,39003500544,Information Technology Services
AMGN,1.07,1.0,-2.31,157748903936,Drug Manufacturers - General
SCSC,-14.14,7.68,-5.86,1003296128,Electronics & Computer Distribution
FSV,-2.63,0.74,-3.59,7420383744,Real Estate Services
CMI,-6.12,5.79,3.3,35702403072,Specialty Industrial Machinery
AGCO,-6.2,6.37,0.81,8792403968,Farm & Heavy Construction Machinery
HTZ,-33.33,1.8,5.18,2575702016,Rental & Leasing Services
NJR,-9.76,29.46,1.01,4057968640,Utilities - Regulated Gas
HLNE,-19.32,4.39,-5.12,6169682944,Asset Management
FI,1.86,1.03,-2.33,86564823040,Information Technology Services
CRNC,24.44,5.69,-7.33,694715584,Software - Application
ULCC,100.0,0.06,16.26,1673454464,Airlines
AME,3.7,0.31,-0.01,38889631744,Specialty Industrial Machinery
TW,1.59,0.52,-0.08,23713421312,Capital Markets
VVV,0.0,0.68,2.72,5150954496,Oil & Gas Refining & Marketing
ENR,3.51,0.57,1.65,2280525568,Electrical Equipment & Parts
XYL,3.13,3.07,5.81,30030880768,Specialty Industrial Machinery
WAT,1.69,0.71,2.47,19316193280,Diagnostics & Research
PJT,26.32,17.34,-3.0,3717639168,Capital Markets
CARR,3.92,2.82,-3.26,50317369344,Building Products & Equipment
J,34.67,3.73,1.92,18284734464,Engineering & Construction
LLY,0.81,5.53,2.03,702639046656,Drug Manufacturers - General
PNM,20.0,41.55,2.67,3182756352,Utilities - Regulated Electric
GEHC,10.28,2.21,11.94,37038735360,Health Information Services
NVT,4.0,1.22,-1.61,10666438656,Electrical Equipment & Parts
LEA,-1.3,3.34,0.69,7685331456,Auto Parts
PDS,65.07,4.66,3.88,917667456,Oil & Gas Drilling
ARCB,12.79,0.8,7.22,3388738816,Trucking
INGR,6.49,8.64,-0.79,7135964160,Packaged Foods
SPOT,-387.5,0.11,5.16,47466123264,Internet Content & Information
ST,-5.81,1.4,-8.24,4987147776,Scientific & Technical Instruments
WTW,5.68,0.32,7.85,27875979264,Insurance Brokers
IT,9.35,0.03,-1.74,36525375488,Information Technology Services
CHKP,4.47,0.48,0.28,19223283712,Software - Infrastructure
LIN,2.57,2.97,4.72,203372560384,Specialty Chemicals
AUDC,16.67,0.97,19.62,436101408,Communication Equipment
FGBI,-33.33,2.62,1.39,141096784,Banks - Regional
RMBS,4.44,1.49,-1.13,6310778368,Semiconductors
BRBR,10.26,5.51,1.64,7777532928,Packaged Foods
GLAD,-3.57,0.72,-1.62,435088992,Asset Management
PINC,11.11,1.12,-1.23,2544934400,Health Information Services
FUNC,34.43,29.37,0.18,147564880,Banks - Regional
GBDC,-1.96,2.39,-0.26,2618495232,Asset Management
CCK,-12.68,2.37,0.56,9022964736,Packaging & Containers
FMC,-1.83,8.26,0.7,6492451328,Agricultural Inputs
FN,1.96,1.85,-0.62,7427246080,Electronic Components
FLXS,0.0,0.02,-1.14,176601056,"Furnishings, Fixtures & Appliances"
SYM,60.0,0.49,-4.62,26954426368,Specialty Industrial Machinery
SKY,17.14,10.74,1.18,4687851520,Residential Construction
KFRC,3.8,0.03,0.81,1361987840,Staffing & Employment Services
VRTX,2.44,0.76,0.92,109015629824,Biotechnology
VRNS,17.39,1.62,0.64,5671225856,Software - Infrastructure
PLTR,0.0,0.81,-4.78,53333438464,Software - Infrastructure
ALGT,116.42,1.59,-5.15,1446334336,Airlines
MLAB,-0.98,2.6,7.39,506231584,Scientific & Technical Instruments
ON,3.31,0.7,2.63,34528182272,Semiconductors
BOWL,-108.33,1.73,3.47,2218879744,Leisure
SPHR,-572.6,5.04,9.37,1429098368,Entertainment
NSSC,30.77,7.95,6.11,1679480960,Security & Protection Services
MCD,4.98,1.04,-0.36,210814910464,Restaurants
IDXX,9.43,1.45,7.64,47639285760,Diagnostics & Research
GHM,150.0,15.68,-3.22,248400688,Specialty Industrial Machinery
CAT,9.87,0.45,-4.02,163925426176,Farm & Heavy Construction Machinery
CURO,-61.54,2.27,-37.36,14042175,Credit Services
APD,-5.69,9.35,-3.96,48886259712,Specialty Chemicals
CNA,27.88,5.07,1.46,12436880384,Insurance - Property & Casualty
HAYN,-14.29,3.02,0.38,763272896,Metal Fabrication
IMO,16.77,21.66,-3.59,31544633344,Oil & Gas Integrated
ABBV,1.09,1.78,3.04,308598571008,Drug Manufacturers - General
CBOE,1.98,1.2,-0.58,19439255552,Financial Data & Stock Exchanges
SAIA,4.39,0.65,18.63,15006599168,Trucking
WT,0.0,1.05,0.0,1062833152,Asset Management
VRTS,2.52,1.44,-3.21,1682006144,Asset Management
CHTR,-20.83,0.07,-15.14,42282254336,Telecom Services
CHD,1.56,1.09,-0.53,24623394816,Household & Personal Products
REGN,13.71,5.37,-0.05,103872249856,Biotechnology
LYB,-2.33,4.39,-1.58,30944133120,Specialty Chemicals
XOM,12.22,8.14,-1.54,412864577536,Oil & Gas Integrated
CVX,4.86,10.29,2.73,285165027328,Oil & Gas Integrated
JOUT,153.33,1.28,-0.85,468936864,Leisure
CI,4.14,4.77,6.66,97968365568,Healthcare Plans
DB,94.59,22.1,1.1,25196621824,Banks - Regional
MTX,2.4,3.35,-0.27,2311593216,Specialty Chemicals
POST,57.94,2.22,-0.73,6460725760,Packaged Foods
EMN,2.34,1.86,-0.59,9734728704,Specialty Chemicals
RGA,7.5,13.18,-1.08,11012516864,Insurance - Reinsurance
AAPL,4.31,1.66,-0.1,2916202840064,Consumer Electronics
PFSI,74.26,12.44,-0.01,4576826368,Mortgage Finance
DLB,13.48,1.48,0.45,7713214464,Specialty Business Services
ENSG,0.79,0.54,-1.06,6737551872,Medical Care Facilities
X,168.0,11.94,-3.26,10372153344,Steel
BZH,-1.41,9.21,-0.49,928680960,Residential Construction
DXC,12.99,1.21,-4.54,4043278080,Information Technology Services
VIAV,37.5,1.89,2.26,1983063040,Communication Equipment
TEAM,17.74,4.03,0.76,55001513984,Software - Application
CVCO,-2.06,4.29,0.77,3018137856,Residential Construction
MCHP,1.89,1.41,1.12,46170750976,Semiconductors
GEN,-2.0,0.29,-0.46,13598028800,Software - Infrastructure
CLX,100.0,12.01,1.15,19139735552,Household & Personal Products
KMPR,0.0,3.09,-0.95,3812465664,Insurance - Property & Casualty
AMZN,24.69,2.23,1.45,1812081803264,Internet Retail
SKX,7.69,2.77,-0.11,8926278656,Footwear & Accessories
COLM,-7.0,1.96,1.16,4843649536,Apparel Manufacturing
HUBG,3.85,0.68,-1.35,2817084928,Integrated Freight & Logistics
SKYW,281.82,4.85,-0.88,2443106048,Airlines
CLFD,12.5,13.72,1.56,436936032,Communication Equipment
NECB,3.8,0.08,-4.75,225045360,Banks - Regional
SNDR,-23.81,0.41,-4.1,4273534464,Trucking
AROW,-8.0,5.46,-5.02,411702752,Banks - Regional
TSCO,2.7,0.02,3.11,25415438336,Specialty Retail
MTSI,1.75,3.99,-3.67,6025530368,Semiconductors
PH,17.37,0.09,5.55,66950926336,Specialty Industrial Machinery
LANC,16.27,0.63,8.86,5194588672,Packaged Foods
ATI,3.23,3.3,-7.8,5390128128,Metal Fabrication
RCI,14.47,1.79,0.04,24319291392,Telecom Services
RACE,9.43,2.16,10.29,70767968256,Auto Manufacturers
HII,61.59,15.18,2.53,10843892736,Aerospace & Defense
THR,18.0,6.4,-20.02,922097088,Specialty Industrial Machinery
BSIG,32.76,2.85,-1.52,895744704,Asset Management
PTON,1.82,0.38,-26.53,1665595776,Leisure
PBI,133.33,2.56,-4.6,715903872,Integrated Freight & Logistics
SIRI,28.57,0.42,2.15,19173896192,Entertainment
SR,7.3,4.33,1.39,3214332160,Utilities - Regulated Gas
WEC,0.0,16.82,0.37,24461985792,Utilities - Regulated Electric
SRDX,100.0,3.23,-7.66,465801952,Medical Devices
MO,0.85,1.2,3.01,70732382208,Tobacco
BR,4.55,0.94,-3.64,23436660736,Information Technology Services
GOOS,-5.61,1.59,5.6,1182064768,Apparel Manufacturing
IP,20.59,1.91,-5.58,12200558592,Packaging & Containers
FLWS,4.1,0.95,-1.14,599823680,Specialty Retail
LAZ,88.57,16.1,3.53,3413551616,Capital Markets
SBH,8.33,0.44,6.4,1365589760,Specialty Retail
DGX,0.47,1.8,-1.74,14123271168,Diagnostics & Research
CAH,16.67,1.1,-3.58,25527302144,Medical Distribution
MRK,133.33,0.45,3.14,320832077824,Drug Manufacturers - General
DOV,0.41,3.09,3.17,22456541184,Specialty Industrial Machinery
CMS,0.96,20.78,1.64,16568331264,Utilities - Regulated Electric
WRK,-42.86,4.36,-4.11,11003334656,Packaging & Containers
RCL,10.62,1.34,0.91,31019624448,Travel Services
BDX,12.13,0.64,1.84,70419865600,Medical Instruments & Supplies
TECH,-4.76,1.76,-5.74,10682759168,Biotechnology
TT,1.88,0.01,5.21,62544711680,Building Products & Equipment
BC,-12.65,5.17,2.71,5933022208,Recreational Vehicles
OCSL,-6.56,1.51,-8.91,1557987328,Credit Services
DLX,15.94,0.13,3.39,892200960,Advertising Agencies
HON,0.0,2.71,-4.77,128448462848,Conglomerates
BALL,1.3,3.45,4.58,18656358400,Packaging & Containers
SWK,26.03,3.09,-3.5,13686087680,Tools & Accessories
ATKR,16.38,3.62,-4.98,5465609216,Electrical Equipment & Parts
MKL,139.53,1.08,0.57,18764838912,Insurance - Property & Casualty
CLB,-5.0,0.32,-1.81,693899200,Oil & Gas Equipment & Services
OBT,2.13,5.25,-4.58,259395136,Banks - Regional
CCS,29.07,31.63,-1.95,2797435904,Residential Construction
MXL,0.0,0.23,-6.3,1559876864,Semiconductors
BOOT,0.56,0.01,-4.05,2658306816,Apparel Retail
MET,-1.03,3.61,-1.32,49329000448,Insurance - Life
SNCY,100.0,1.32,-2.44,816470656,Airlines
KLIC,15.38,0.7,-5.22,2824379392,Semiconductor Equipment & Materials
WOLF,12.7,1.19,-5.98,3650745088,Semiconductors
EGHT,20.0,1.32,-8.7,351749824,Software - Application
CNMD,-4.51,1.77,1.13,2672981248,Medical Devices
AFL,-14.97,14.97,-0.33,45254410240,Insurance - Life
CHRW,-37.5,2.99,-0.85,8710330368,Integrated Freight & Logistics
PTC,13.27,2.16,-1.85,21889972224,Software - Application
QCOM,15.55,4.52,0.34,168515993600,Semiconductors
CACC,61.28,2.67,-2.78,6961564160,Credit Services
SEIC,0.0,0.72,-1.33,8743014400,Asset Management
BFIN,-19.05,2.38,-1.54,129998976,Banks - Regional
LCNB,-5.56,5.27,-6.04,186274704,Banks - Regional
HTLD,160.0,6.14,-2.41,1044895616,Trucking
MA,3.25,1.39,1.89,428169560064,Credit Services
BA,34.72,3.73,3.63,127652577280,Aerospace & Defense
HES,13.99,9.38,-0.73,44928077824,Oil & Gas E&P
MHO,-25.91,17.99,-5.32,3407545344,Residential Construction
FTV,5.38,0.99,5.09,29002889216,Scientific & Technical Instruments
EXTR,-11.11,0.3,-20.34,1619423360,Communication Equipment
RDCM,47.06,3.78,9.07,158729232,Telecom Services
NDAQ,2.86,5.0,-0.59,33031245824,Financial Data & Stock Exchanges
ROK,-22.14,1.12,-16.41,32486832128,Specialty Industrial Machinery
NYCB,-193.1,5.33,-38.03,3538123264,Banks - Regional
ODFL,2.8,0.58,-0.45,47500595200,Trucking
ROP,0.92,2.43,-3.81,58779873280,Software - Application
SLGN,8.62,3.5,5.58,4775370240,Packaging & Containers
LII,4.91,0.79,-1.16,16265645056,Building Products & Equipment
APTV,8.53,0.54,-7.1,22886531072,Auto Parts
AVY,0.47,1.06,0.25,16490393600,Packaging & Containers
EAT,5.32,0.36,5.73,1991989376,Restaurants
EVR,23.93,11.97,-1.51,6724182528,Capital Markets
GIB,2.29,2.02,0.74,26624534528,Information Technology Services
COR,14.69,5.0,5.77,46335008768,Medical Distribution
MKTX,6.98,0.71,-18.88,8507554304,Capital Markets
OTIS,2.35,1.27,-0.81,36928843776,Specialty Industrial Machinery
GPI,-9.44,2.39,-5.84,3780104192,Auto & Truck Dealerships
TMO,0.53,1.4,-3.67,212848902144,Diagnostics & Research
RGS,63.87,3.56,-21.0,27034276,Personal Services
CPF,14.58,8.39,-2.73,523320768,Banks - Regional
GSK,-5.26,2.1,0.72,85039579136,Drug Manufacturers - General
FSFG,7.27,14.24,2.02,118046192,Banks - Regional
ATGE,21.78,5.13,-21.36,1975863936,Education & Training Services
TER,9.72,0.85,0.36,15641051136,Semiconductor Equipment & Materials
ASH,114.29,1.14,0.37,4578685952,Specialty Chemicals
FCF,12.82,2.54,0.95,1363235328,Banks - Regional
CB,63.71,3.92,1.01,100859215872,Insurance - Property & Casualty
UNM,-3.76,0.76,0.91,9229645824,Insurance - Life
MANH,28.75,6.37,2.01,15422332928,Software - Application
JNPR,-4.69,2.97,0.05,11920216064,Communication Equipment
POWL,98.0,7.73,5.63,1762243840,Electrical Equipment & Parts
MTCH,65.31,0.58,-0.42,9767878656,Internet Content & Information
RNR,44.77,19.6,1.18,11935687680,Insurance - Reinsurance
UMBF,30.11,4.37,1.51,3965413376,Banks - Regional
MOD,29.82,4.21,6.22,3820566784,Auto Parts
FBIN,2.15,1.85,1.66,10103992320,Building Products & Equipment
LC,350.0,2.73,-2.67,952846912,Credit Services
RHI,1.22,0.39,-0.31,8592320512,Staffing & Employment Services
SYK,5.81,3.81,1.9,129923588096,Medical Devices
SWKS,1.03,0.19,-0.65,16831741952,Semiconductors
MDLZ,7.69,0.15,1.42,100669480960,Confectioners
MSFT,6.16,1.62,0.62,3124871299072,Software - Infrastructure
GOOGL,2.5,2.19,-0.39,1821525016576,Internet Content & Information
HA,-0.85,0.02,0.55,727558272,Airlines
CCB,-29.79,26.37,-0.26,519133792,Banks - Regional
NVR,2.47,7.22,1.38,23919071232,Residential Construction
SYY,1.14,0.04,7.57,39602380800,Food Distribution
CVLT,6.85,4.08,10.57,4142176000,Software - Application
MAN,19.83,1.51,0.51,3559625728,Staffing & Employment Services
HCA,16.83,4.52,6.79,81989918720,Medical Care Facilities
MBUU,11.76,3.75,-17.1,1000291968,Recreational Vehicles
CATC,20.65,2.2,6.62,528783328,Banks - Regional
PNR,1.16,1.21,0.9,12311471104,Specialty Industrial Machinery
JCI,2.0,0.52,-3.37,37823086592,Building Products & Equipment
MSCI,11.85,5.01,11.04,46855208960,Financial Data & Stock Exchanges
PFE,152.63,0.8,-1.82,155671543808,Drug Manufacturers - General
PHM,2.5,4.2,0.47,21902770176,Residential Construction
CALB,0.0,0.93,7.75,196365488,Banks - Regional
JBLU,32.14,1.43,-4.73,1979736576,Airlines
MDC,8.33,4.1,0.05,4658864128,Residential Construction
DHR,10.0,6.93,5.16,181746991104,Diagnostics & Research
PII,-25.84,1.59,-2.12,5142404096,Recreational Vehicles
SMBC,-4.46,1.99,0.3,487356160,Banks - Regional
CLS,11.76,3.06,1.4,4602124800,Electronic Components
HITI,166.67,1.07,2.12,136743280,Pharmaceutical Retailers
FINW,6.67,9.22,1.43,135930368,Banks - Regional
CALX,16.22,0.02,4.33,2281632768,Software - Application
SFBS,4.6,1.94,2.62,3407662336,Banks - Regional
NUE,11.66,1.86,0.65,45858807808,Steel
GABC,8.96,0.08,1.41,960911040,Banks - Regional
